001. 《肖申克的救赎》 | 评分：9.7 | 评价人数：3235672 | 年份：1994 | 短评：
002. 《霸王别姬》 | 评分：9.6 | 评价人数：2388067 | 年份：1993 | 短评：
003. 《泰坦尼克号》 | 评分：9.5 | 评价人数：2458235 | 年份：1997 | 短评：
004. 《阿甘正传》 | 评分：9.5 | 评价人数：2397570 | 年份：1994 | 短评：
005. 《千与千寻》 | 评分：9.4 | 评价人数：2498501 | 年份：2001 | 短评：
006. 《美丽人生》 | 评分：9.5 | 评价人数：1461576 | 年份：1997 | 短评：
007. 《星际穿越》 | 评分：9.4 | 评价人数：2138357 | 年份：2014 | 短评：
008. 《这个杀手不太冷》 | 评分：9.4 | 评价人数：2521974 | 年份：1994 | 短评：
009. 《盗梦空间》 | 评分：9.4 | 评价人数：2292391 | 年份：2010 | 短评：
010. 《楚门的世界》 | 评分：9.4 | 评价人数：1981237 | 年份：1998 | 短评：
011. 《辛德勒的名单》 | 评分：9.5 | 评价人数：1231622 | 年份：1993 | 短评：
012. 《忠犬八公的故事》 | 评分：9.4 | 评价人数：1524307 | 年份：2009 | 短评：
013. 《海上钢琴师》 | 评分：9.3 | 评价人数：1855122 | 年份：1998 | 短评：
014. 《疯狂动物城》 | 评分：9.3 | 评价人数：2257194 | 年份：2016 | 短评：
015. 《三傻大闹宝莱坞》 | 评分：9.2 | 评价人数：2049905 | 年份：2009 | 短评：
016. 《机器人总动员》 | 评分：9.3 | 评价人数：1466860 | 年份：2008 | 短评：
017. 《放牛班的春天》 | 评分：9.3 | 评价人数：1453313 | 年份：2004 | 短评：
018. 《无间道》 | 评分：9.3 | 评价人数：1539744 | 年份：2002 | 短评：
019. 《控方证人》 | 评分：9.6 | 评价人数：697483 | 年份：1957 | 短评：
020. 《大话西游之大圣娶亲》 | 评分：9.2 | 评价人数：1687892 | 年份：1995 | 短评：
021. 《熔炉》 | 评分：9.3 | 评价人数：1023919 | 年份：2011 | 短评：
022. 《寻梦环游记》 | 评分：9.1 | 评价人数：1946007 | 年份：2017 | 短评：
023. 《触不可及》 | 评分：9.3 | 评价人数：1274345 | 年份：2011 | 短评：
024. 《教父》 | 评分：9.3 | 评价人数：1088579 | 年份：1972 | 短评：
025. 《当幸福来敲门》 | 评分：9.1 | 评价人数：1666275 | 年份：2006 | 短评：
026. 《末代皇帝》 | 评分：9.3 | 评价人数：1012385 | 年份：1987 | 短评：
027. 《哈利·波特与魔法石》 | 评分：9.2 | 评价人数：1396196 | 年份：2001 | 短评：
028. 《龙猫》 | 评分：9.2 | 评价人数：1393548 | 年份：1988 | 短评：
029. 《活着》 | 评分：9.3 | 评价人数：955587 | 年份：1994 | 短评：
030. 《怦然心动》 | 评分：9.1 | 评价人数：2023855 | 年份：2010 | 短评：
031. 《蝙蝠侠：黑暗骑士》 | 评分：9.2 | 评价人数：1177318 | 年份：2008 | 短评：
032. 《指环王3：王者无敌》 | 评分：9.3 | 评价人数：897053 | 年份：2003 | 短评：
033. 《我不是药神》 | 评分：9.0 | 评价人数：2323090 | 年份：2018 | 短评：
034. 《乱世佳人》 | 评分：9.3 | 评价人数：780926 | 年份：1939 | 短评：
035. 《飞屋环游记》 | 评分：9.1 | 评价人数：1477051 | 年份：2009 | 短评：
036. 《让子弹飞》 | 评分：9.0 | 评价人数：1895510 | 年份：2010 | 短评：
037. 《哈尔的移动城堡》 | 评分：9.1 | 评价人数：1267447 | 年份：2004 | 短评：
038. 《十二怒汉》 | 评分：9.4 | 评价人数：567897 | 年份：1957 | 短评：
039. 《海蒂和爷爷》 | 评分：9.3 | 评价人数：760008 | 年份：2015 | 短评：
040. 《素媛》 | 评分：9.3 | 评价人数：765990 | 年份：2013 | 短评：
041. 《猫鼠游戏》 | 评分：9.1 | 评价人数：1188327 | 年份：2002 | 短评：
042. 《天空之城》 | 评分：9.2 | 评价人数：995381 | 年份：1986 | 短评：
043. 《鬼子来了》 | 评分：9.3 | 评价人数：705131 | 年份：2000 | 短评：
044. 《摔跤吧！爸爸》 | 评分：9.0 | 评价人数：1723701 | 年份：2016 | 短评：
045. 《少年派的奇幻漂流》 | 评分：9.1 | 评价人数：1473436 | 年份：2012 | 短评：
046. 《钢琴家》 | 评分：9.3 | 评价人数：738041 | 年份：2002 | 短评：
047. 《指环王2：双塔奇兵》 | 评分：9.2 | 评价人数：844439 | 年份：2002 | 短评：
048. 《死亡诗社》 | 评分：9.2 | 评价人数：862594 | 年份：1989 | 短评：
049. 《大话西游之月光宝盒》 | 评分：9.0 | 评价人数：1347520 | 年份：1995 | 短评：
050. 《何以为家》 | 评分：9.1 | 评价人数：1150422 | 年份：2018 | 短评：
051. 《绿皮书》 | 评分：8.9 | 评价人数：1864381 | 年份：2018 | 短评：
052. 《闻香识女人》 | 评分：9.1 | 评价人数：1007779 | 年份：1992 | 短评：
053. 《大闹天宫》 | 评分：9.4 | 评价人数：501545 | 年份：1961 | 短评：
054. 《黑客帝国》 | 评分：9.1 | 评价人数：935937 | 年份：1999 | 短评：
055. 《指环王1：护戒使者》 | 评分：9.1 | 评价人数：945944 | 年份：2001 | 短评：
